Level 1,Level 2,Level 3,Level 4,Level 5,Content
,,,,,
,,,,,
,信息技术与数据挖掘,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,林原,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,大连理工大学,,,,
,人文与社会科学学部,,,,
,,,,,
,,,,,
,,,,,
,,,,,
第1章 绪论,,,,,
第1章 绪论,第1节 数据与信息,,,,
第1章 绪论,第1节 数据与信息,1 数据,,,
第1章 绪论,第1节 数据与信息,1 数据,数据：是关于组织机构及其业务活动的原始事实，它是信息系统中最活跃的元素。,,
第1章 绪论,第1节 数据与信息,1 数据,数据的分类：模拟数据：某个区间内连续变化的值，如声音和视频，温度和压力等。数字数据：离散的值，如文本信息和整数等。,,
第1章 绪论,第1节 数据与信息,1 数据,数据是计算机处理的对象。从外部形式来看，计算机可以处理数值、文字、图像、声音、视频等。而在计算机内部，计算机中的数据都是以二进制码形式出现的。,,
第1章 绪论,第1节 数据与信息,2 信息,,,
第1章 绪论,第1节 数据与信息,2 信息,信息是数据的有组织、有意义和有用的解释。使用信息，可以判断条件、估计某个问题是否已经发生、评估其他解决方案，以及选择行动等。,,
第1章 绪论,第1节 数据与信息,2 信息,信息的主要特征：社会性 ，时效性， 传递性，能动性， 共享性 ，客观性 ，不灭性。,,
第1章 绪论,第1节 数据与信息,2 信息,社会性：信息一开始就直接联系于社会应用，它只有经过人类的加工、取舍、组合，并通过一定的形式表现出来，才真正具有使用价值。,,
第1章 绪论,第1节 数据与信息,2 信息,传递性：信息的传递性是指任何信息只有从信息源出发，经过信道载体的传递，才能被信宿接收并进行处理和运用。信息在空间中的传递称为通信，信息在时间上的传递称为存储。,,
第1章 绪论,第1节 数据与信息,2 信息,共享性：信息的共享性主要是指信息作为一种资源，不同个体或群体在同一时间或不同时间均可使用这种资源。,,
第1章 绪论,第1节 数据与信息,2 信息,不灭性：信息从信源发出后，其自身的信息量并没有减少，即使信息并不因为被使用而消失，它可以被大量复制、长期保存、重复使用。,,
第1章 绪论,第1节 数据与信息,2 信息,时效性：时效性是指信息应能反映事物最新的变化状态。,,
第1章 绪论,第1节 数据与信息,2 信息,能动性：信息的产生、存在和流通依赖于物质和能量的流动，并对改变其价值产生影响。,,
第1章 绪论,第1节 数据与信息,2 信息,客观性：信息的客观性是指信息是客观存在的。信息的产生源于物质，信息产生后又必须依附于物质，因此信息包含于任何物质中。,,
第1章 绪论,第1节 数据与信息,2 信息,信息的作用：消除不确定性；对接受者的行为和决策产生影响；可开发和利用的资源；信息具有应用价值，信息支持决策。,,
第1章 绪论,第1节 数据与信息,3 信息与数据的关系,,,
第1章 绪论,第1节 数据与信息,3 信息与数据的关系,信息与数据是密不可分的，数据是信息的载体，信息蕴含在数据之中。,,
第1章 绪论,第1节 数据与信息,3 信息与数据的关系,信息通过对数据的加工得到，是数据处理的产物。,,
第1章 绪论,第1节 数据与信息,3 信息与数据的关系,信息中含有人们的主观意识，它仅为信息接收者而存在。,,
第1章 绪论,第1节 数据与信息,3 信息与数据的关系,数据本身是客观存在的，无实际价值，加工成为信息后才有意义。,,
